Route_ID,Distance_Meters,Duration_Seconds,Duration_Minutes,Latitude,Longitude,LatLong
KSAcVrsl2_CwWUTiI0kWWoPii90IwweMMVn9d10BqyF3FfOoNab_Zw==,2859.74,707.372,12.0,37.7893075,-122.43380556906494,"37.7893075,-122.43380556906494"
bAnM6PqXv6lVOu0WOGwQiUpggGMnsiHN3YLgKtB62dP9uNHQ8Sqp9w==,1956.706,578.421,10.0,37.79982,-122.40783,"37.79982,-122.40783"
WLCYchMoVjzsofxHE3rFzGVaGs0JfFrv5GeL7tjLaKQMFvvgyOB8yg==,4201.878,1060.632,18.0,37.76439,-122.4334,"37.76439,-122.4334"
mKBLjuao08THB4IwpiICEV6_HMHCrzqWuGaVqPfD7F8sWjNpx7xqRg==,7535.625,1282.415,21.0,37.73930985915218,-122.41706130387524,"37.73930985915218,-122.41706130387524"
lZG-llCm5GSvF3WjeQx7360esY5UFjih-igucNyBv7WiaWMyhLRRFw==,10988.632,1890.11,32.0,37.74278,-122.47815,"37.74278,-122.47815"
ebGjF4Ay585s9WFu_4hK4cVJPfzx3fiQNxfiiQkCPDSJDvomloZxmg==,1635.354,424.563,7.0,37.7873184067081,-122.423591369312,"37.7873184067081,-122.423591369312"
F4nFFge2fAZhEPDArDhBNeV9sMVgUDQSyO2VgQMoUJVhHKl0mxBPHQ==,1542.441,459.936,8.0,37.793966,-122.404206,"37.793966,-122.404206"
3M64deks7VKZwv700TEBsCIHfNv7sAh7U1wUOQtU8tlqPTqDObQOew==,2095.987,573.595,10.0,37.786192,-122.429731,"37.786192,-122.429731"
dxfVPbtHt9KWq2GgdY36s5ij3oOc_fZfxgRZYNx0zcyZDvIUlt1foQ==,3571.539,912.557,15.0,37.771239,-122.423775,"37.771239,-122.423775"
D3o5p2Zx-I65SpKkRTtDMCe-ncqZrVkeg2IUw2-wknqedkolqqPyWQ==,4732.963,1247.911,21.0,37.759958,-122.435089,"37.759958,-122.435089"
LnXLp1sAK3mQoq0vLzxNLa_iN3T1V8FdyJ1crN0TUT1OUti9K2_xow==,5073.037,967.355,16.0,37.782787322998,-122.462539672852,"37.782787322998,-122.462539672852"
aMwXxnw6tMaZwuc3prlPx28DN2D8TjUt-rMXWKMSyfj9BThlUSSDBg==,6544.638,1252.917,21.0,37.78215,-122.47867,"37.78215,-122.47867"
iFE6ckFTdKPvnHRtso-6yTZZebT5lKu3_SExcjWidsRzk1C6ExfiCg==,971.553,372.469,6.0,37.78386,-122.40483,"37.78386,-122.40483"
