,Name,Business_ID,Latitude,Longitude,Address,Rating,Review_count,Price,Categories,Transactions,ZIP,Pickup,Delivery,Restaurant_Reservation
28,San Ho Won,kvFI8S8XuE0793DBR0wSbg,37.75961276313876,-122.4102472,"2170 Bryant St, San Francisco, CA 94110",4.6,656,$$$$,"('Korean, Barbeque',)",[],94110,False,False,False
29,Ben Thai Cafe,tZmiZw49SNRVzF6h1Jfx9g,37.78924,-122.42065,"1331 Polk St, San Francisco, CA 94109",4.4,1124,$$,"('Thai, Noodles',)","['pickup', 'restaurant_reservation', 'delivery']",94109,True,True,True
30,Pinsa Rossa,E_W8aGdYm8hnfy1WuGJcVQ,37.78896562756244,-122.43397533119676,"2101 Fillmore St, San Francisco, CA 94115",4.6,137,N/A,"('Italian, Pizza, Beer Bar',)",[],94115,False,False,False
31,Lokma,E2Ri3Uudb3ogKfWBJIIhRw,37.78215,-122.47867,"1801 Clement St, San Francisco, CA 94121",4.6,858,$$,"('Mediterranean, Breakfast & Brunch, Vegetarian',)","['pickup', 'delivery']",94121,True,True,False
32,Dumpling Story,x0CorPaOx_2o-Pkwqy-B3Q,37.7893075,-122.43380556906494,"2114 Fillmore St, San Francisco, CA 94115",4.5,290,$$,"('Asian Fusion, Chinese, Noodles',)",[],94115,False,False,False
33,Fable,reXWH9Wo0ZTOuQsTMNOSxg,37.759958,-122.435089,"558 Castro St, San Francisco, CA 94114",4.1,898,$$,"('New American, Wine Bars, Breakfast & Brunch',)","['pickup', 'delivery']",94114,True,True,False
34,Mashita Galbi Jjim,-GLxXV8j8qdtJ_-pca3N5w,37.796319071428506,-122.4220672,"2123 Polk St, San Francisco, CA 94109",4.8,50,N/A,"('Asian Fusion, Chicken Wings, Barbeque',)",[],94109,False,False,False
35,Oraan Thai Eatery,8LFfuBSFK9YfHp1r-jsJEw,37.78141,-122.459837,"3750 Geary Blvd, San Francisco, CA 94118",4.6,113,N/A,"('Thai',)",[],94118,False,False,False
36,Nepa  Indian Cuisine,y1RfTh6psoa_Ps9yjZqL2Q,37.774382,-122.437986,"507 Divisadero St, San Francisco, CA 94117",4.9,152,$$,"('Himalayan/Nepalese, Indian',)","['pickup', 'restaurant_reservation', 'delivery']",94117,True,True,True
37,Memento SF,1FSl22I7HM6rJyKC9l4yIw,37.751066336195144,-122.4337981,"1305 Castro St, San Francisco, CA 94114",4.8,69,N/A,"('New American, Cocktail Bars, Breakfast & Brunch',)",[],94114,False,False,False
38,Farmhouse Kitchen Thai Cuisine,8kck3-K4zYKTJbJko0JlXQ,37.760192883932795,-122.4114188698492,"710 Florida St, San Francisco, CA 94110",4.1,3890,$$,"('Thai, Coffee & Tea, Cocktail Bars',)","['pickup', 'restaurant_reservation', 'delivery']",94110,True,True,True
39,Dalida,0T1Kc6tUWaG3cPnyiD40Hw,37.800046977658894,-122.45958044459428,"101 Montgomery St, Ste 100, San Francisco, CA 94129",4.5,317,$$$,"('Mediterranean, Turkish, Bars',)",[],94129,False,False,False
40,Starbelly,J7_-faNq_Ag9qTOlDn81Pw,37.76408650404102,-122.4325853855326,"3583 16th St, San Francisco, CA 94114",3.8,2370,$$,"('New American, Breakfast & Brunch, Cocktail Bars',)","['delivery', 'pickup']",94114,True,True,False
41,Kothai Republic,s2R3RUJ09eBFvHVIUS4Shg,37.762389,-122.466065,"1398 9th Ave, San Francisco, CA 94122",4.6,318,N/A,"('Asian Fusion, Tapas/Small Plates, Venues & Event Spaces',)","['delivery', 'pickup']",94122,True,True,False
42,Burma Superstar,eYXwVR4mMAjzkJnm5wneHQ,37.782787322998,-122.462539672852,"309 Clement St, San Francisco, CA 94118",4.2,7685,$$,"('Burmese',)","['pickup', 'delivery']",94118,True,True,False
43,Nopalito,055dTcfz2AOAFPed_2KjEQ,37.77343530099,-122.438993048014,"306 Broderick St, San Francisco, CA 94117",3.8,2069,$$,"('Mexican',)",['pickup'],94117,True,False,False
44,Mariposas,9R69QGOfgRlK-t7xczgzyw,37.78386,-122.40483,"825 Mission St, San Francisco, CA 94103",4.5,90,N/A,"('Peruvian, Latin American, Cocktail Bars',)","['restaurant_reservation', 'delivery', 'pickup']",94103,True,True,True
45,Elena's Mexican Restaurant,Ih7DWOErYaIv6ZXzsHIiEw,37.738345,-122.468176,"255 W Portal Ave, San Francisco, CA 94127",4.0,364,N/A,"('American, Mexican',)",[],94127,False,False,False
46,Mijoté,w8MW2jeXhOuNgNh8j3AEUA,37.758894,-122.41267626257267,"2400 Harrison St, San Francisco, CA 94110",4.5,155,N/A,"('French',)",[],94110,False,False,False
47,Hardwood Bar & Smokery,pLBEfh2qKNa_9Z9V84XPRw,37.77047,-122.40472,"680 8th St, Ste 170, San Francisco, CA 94103",4.1,206,$$,"('Sports Bars, Barbeque, American',)","['pickup', 'delivery']",94103,True,True,False
48,Birba,hmxVC4sJ8-mv2_Gw38fxXg,37.77787,-122.42421,"458 Grove St, San Francisco, CA 94102",4.4,201,$$,"('Wine Bars, New American',)",['delivery'],94102,False,True,False
49,Bodega,uUifmxOmL8ClHXyRVsmD3Q,37.784837858877935,-122.4093022,"138 Mason St, San Francisco, CA 94102",4.4,652,N/A,"('Vietnamese, Noodles, Cocktail Bars',)",[],94102,False,False,False
50,Ganji,9adGsRBQkVSqq4digmh6sw,37.786192,-122.429731,"1740 Buchanan St, San Francisco, CA 94115",4.7,145,$$,"('Japanese',)",['restaurant_reservation'],94115,False,False,True
51,Miller & Lux,N2kNTSbEUkJbgME8dfhGOw,37.76819998383212,-122.38644657401773,"700 Terry A Francois Blvd, San Francisco, CA 94158",4.2,370,$$$$,"('American, Steakhouses, Seafood',)",[],94158,False,False,False
52,Dumpling Kitchen Noe Valley,hNMEYUD9ALOFrrEX5K5bzA,37.751464269196,-122.4300389,"3913 24th St, San Francisco, CA 94114",4.6,64,N/A,"('Shanghainese, Asian Fusion, Szechuan',)","['pickup', 'delivery']",94114,True,True,False
53,Lily,AtFGQccBpgEZzsy9V1330Q,37.782815,-122.461671,"225 Clement St, San Francisco, CA 94118",4.3,494,N/A,"('Vietnamese',)","['pickup', 'delivery']",94118,True,True,False
54,The Italian Homemade Company,K9XVDlPNhrrSVEJN7uWqJQ,37.801752,-122.411851,"716 Columbus Ave, San Francisco, CA 94133",4.3,2010,$$,"('Italian, Pasta Shops, International Grocery',)","['pickup', 'delivery']",94133,True,True,False
55,Roma Antica,B09WOy0W83Od-Xw4xEXxog,37.79989,-122.4408,"3242 Scott St, San Francisco, CA 94123",4.5,1572,$$,"('Pizza, Italian, Pasta Shops',)","['delivery', 'pickup']",94123,True,True,False
56,San Tung,M0JTO3oyu6gxh1mfFjU-dA,37.76378306790313,-122.46900735179602,"1031 Irving St, San Francisco, CA 94122",4.1,8348,$$,"('Chinese, Chicken Wings, Noodles',)",['pickup'],94122,True,False,False
57,Bettola,oK6DQM2ztdNwMAyJqGWZpg,37.78284,-122.463137,"343 Clement St, San Francisco, CA 94118",4.3,39,N/A,"('Italian',)",[],94118,False,False,False
58,M Pot,_KIH-PSiT6lyX2MnFcS3NA,37.78291543753223,-122.4682742,"832 Clement St, San Francisco, CA 94118",4.8,33,$$,"('Chinese, Hot Pot, Soup',)",[],94118,False,False,False
59,The Italian Homemade Company,FRpULkKmvD9caSKabQzq5w,37.79742,-122.43097,"1919 Union St, San Francisco, CA 94123",4.3,1271,$$,"('Italian, Pasta Shops, Desserts',)","['pickup', 'delivery']",94123,True,True,False
60,Paprika,M53h93nLRlBsoXmi19jCBQ,37.752362,-122.419099,"3324 24th St, San Francisco, CA 94110",4.4,456,$$,"('Czech, German, Hungarian',)","['restaurant_reservation', 'delivery', 'pickup']",94110,True,True,True
